food,video_link,title
Turkey,https://www.youtube.com/watch?v=AgiJGK5btGY,Meatless Thanksgiving Stuffing! FullyRaw Vegan Recipe!
Turkey,https://www.youtube.com/watch?v=LC5vyQfUA0A,Thanksgiving Turkey Made Simply Delicious | Holiday | Whole Foods Market
Turkey,https://www.youtube.com/watch?v=XJ0dGEsl_9I,How to make: HOT CHEETOS TURKEY!!!
Stuffing,https://www.youtube.com/watch?v=cAs2a7fdrig,Sweet Potato Stuffing Recipe - What’s For Dinner?
Stuffing,https://www.youtube.com/watch?v=ZreYQzgBCg0,"This Year, Make the Best-Ever Thanksgiving Stuffing"
Stuffing,https://www.youtube.com/watch?v=_R_GxZrM2nw,Herb Stuffing I Recipe Relay
Cranberry Sauce,https://www.youtube.com/watch?v=N14vSvpVfGE,VEGAN GRAVY & CRANBERRY SAUCE | 12 DAYS OF CHRISTMAS
Cranberry Sauce,https://www.youtube.com/watch?v=Dj0tBs4M9HM,Ballymaloe Cranberry Sauce Chicken & Brie Crostini
Cranberry Sauce,https://www.youtube.com/watch?v=2-QgFQpVMU0,Homemade Cranberry Sauce Recipe | Kathleen Tesori
Mashed Potatoes,https://www.youtube.com/watch?v=UwrEagOwoBA,Which Celebrity Makes The Best Mashed Potatoes?
Mashed Potatoes,https://www.youtube.com/watch?v=rfgdUGW-VaQ,French’s Crunchy Onion Bacon Mashed Potatoes | We Promise Great Taste
Mashed Potatoes,https://www.youtube.com/watch?v=BWYA0CYJV74,How To Cook Perfect Potatoes
Pie,https://www.youtube.com/watch?v=tqPub3p3k5E,$5 Pie Vs. $250 Pie
Pie,https://www.youtube.com/watch?v=BQ1xUO90FTo,Vegan Caramel Almond Brittle Tart | Ben & Jerry's
Pie,https://www.youtube.com/watch?v=9PJgb3R9Dws,"Have all your pies, and eat them, too! | Easy Pie Recipe Ideas By So Yummy"
Pumpkin Pie,https://www.youtube.com/watch?v=GKNLvqeP_DE,Clear Pumpkin Pie Taste Test
Pumpkin Pie,https://www.youtube.com/watch?v=V7VsWJvRxTs,RumChata Pumpkin Pie Martini
Pumpkin Pie,https://www.youtube.com/watch?v=pWMb0HVBM0M,Cold Stone Pumpkin Pie Table
Apple Pie,https://www.youtube.com/watch?v=tf34Xa8tPYc,McD - Apple Pie a la Mode
Apple Pie,https://www.youtube.com/watch?v=QUP8vf18oWA,I Tried To Make A Pie With Zero Waste
Apple Pie,https://www.youtube.com/watch?v=VFQsDAADPLM,Apple Pie From Scratch
Pecan Pie,https://www.youtube.com/watch?v=biQrEKGaCJI,5 Pies For Your Holiday Season
Pecan Pie,https://www.youtube.com/watch?v=hysNDENjd18,Easy Pecan Pie | Pillsbury Recipe
Pecan Pie,https://www.youtube.com/watch?v=63kgImyzZrw,Gemma's Best Ever Pecan Pie